Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,October Land Registry Fee,,,114,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,115,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,116,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,117,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,118,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,119,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,120,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,121,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,122,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,123,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,124,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,125,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,126,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,127,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,128,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,129,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,130,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,131,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,132,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,133,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,134,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,135,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,136,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,137,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,138,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,139,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,140,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,141,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,142,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
